District,Division,Year,Season,Area_ir,Area_rf,Area_total,Pct_irrigated,Planting_Month_w,Maturity_Month_w
Gopalgonj,Dhaka,2005,Aman,2528.0,8137.0,10665.0,0.23703703703703705,7.0,11.762962962962963
Gopalgonj,Dhaka,2005,Aus,0.0,853.0,853.0,0.0,5.0,8.0
Gopalgonj,Dhaka,2005,Boro,54383.0,16822.0,71205.0,0.7637525454673126,9.40127800014044,4.0
Gopalgonj,Dhaka,2010,Aman,2753.0,8946.0,11699.0,0.23531925805624412,7.0,11.764680741943756
Gopalgonj,Dhaka,2010,Aus,0.0,938.0,938.0,0.0,5.0,8.0
Gopalgonj,Dhaka,2010,Boro,59226.0,18495.0,77721.0,0.762033427259042,9.382367699849462,4.0
Gopalgonj,Dhaka,2015,Aman,2753.0,8762.0,11515.0,0.2390794615718628,7.0,11.760920538428136
Gopalgonj,Dhaka,2015,Aus,0.0,919.0,919.0,0.0,5.0,8.0
Gopalgonj,Dhaka,2015,Boro,59226.0,18115.0,77341.0,0.7657775306758382,9.42355283743422,4.0
Hobigonj,Sylhet,2000,Aman,4305.0,125030.0,129335.0,0.03328565353539258,7.966714346464608,11.966714346464608
Hobigonj,Sylhet,2000,Aus,0.0,25785.0,25785.0,0.0,5.0,8.0
Hobigonj,Sylhet,2000,Boro,46340.0,0.0,46340.0,1.0,12.0,4.0
Hobigonj,Sylhet,2005,Aman,5056.0,109767.0,114823.0,0.04403298990620346,7.955967010093796,11.955967010093797
Hobigonj,Sylhet,2005,Aus,0.0,22637.0,22637.0,0.0,5.0,8.0
Hobigonj,Sylhet,2005,Boro,55250.0,0.0,55250.0,1.0,12.0,4.0
Hobigonj,Sylhet,2010,Aman,5506.0,120679.0,126185.0,0.04363434639616436,7.956365653603836,11.956365653603836
Hobigonj,Sylhet,2010,Aus,0.0,24887.0,24887.0,0.0,5.0,8.0
Hobigonj,Sylhet,2010,Boro,60171.0,0.0,60171.0,1.0,12.0,4.0
Hobigonj,Sylhet,2015,Aman,5506.0,118198.0,123704.0,0.04450947422880424,7.955490525771196,11.955490525771197
Hobigonj,Sylhet,2015,Aus,0.0,24376.0,24376.0,0.0,5.0,8.0
Hobigonj,Sylhet,2015,Boro,60171.0,0.0,60171.0,1.0,12.0,4.0
Jamalpur,Dhaka,2010,Aman,19272.0,41329.0,60601.0,0.31801455421527697,7.681985445784723,11.681985445784724
Jamalpur,Dhaka,2010,Aus,0.0,506.0,506.0,0.0,5.0,8.0
Jamalpur,Dhaka,2010,Boro,97345.0,0.0,97345.0,1.0,12.0,4.0
Jamalpur,Mymensingh,2000,Aman,15067.0,42819.0,57886.0,0.26028746156238125,7.739712538437619,11.739712538437619
Jamalpur,Mymensingh,2000,Aus,0.0,524.0,524.0,0.0,5.0,8.0
Jamalpur,Mymensingh,2000,Boro,74968.0,0.0,74968.0,1.0,12.0,4.0
Jamalpur,Mymensingh,2005,Aman,17696.0,37592.0,55288.0,0.3200694544928375,7.679930545507163,11.679930545507162
Jamalpur,Mymensingh,2005,Aus,0.0,460.0,460.0,0.0,5.0,8.0
Jamalpur,Mymensingh,2005,Boro,84862.0,0.0,84862.0,1.0,12.0,4.0
Jamalpur,Mymensingh,2010,Aus,0.0,0.0,0.0,0.0,,
Jamalpur,Mymensingh,2015,Aman,19272.0,40479.0,59751.0,0.3225385349199177,7.677461465080082,11.677461465080082
Jamalpur,Mymensingh,2015,Aus,0.0,495.0,495.0,0.0,5.0,8.0
Jamalpur,Mymensingh,2015,Boro,97345.0,0.0,97345.0,1.0,12.0,4.0
Jessore,Khulna,2000,Aman,43357.0,56900.0,100257.0,0.4324585814456846,7.0,11.567541418554315
Jessore,Khulna,2000,Aus,0.0,16624.0,16624.0,0.0,5.0,8.0
Jessore,Khulna,2000,Boro,85886.0,64334.0,150220.0,0.5717347889761683,7.289082678737851,4.428265211023832
Jessore,Khulna,2005,Aman,50920.0,49954.0,100874.0,0.5047881515554058,7.0,11.495211848444594
Jessore,Khulna,2005,Aus,0.0,14594.0,14594.0,0.0,5.0,8.0
Jessore,Khulna,2005,Boro,102401.0,56480.0,158881.0,0.6445138185182621,8.089652003700882,4.355486181481738
Jessore,Khulna,2010,Aman,55455.0,54919.0,110374.0,0.5024281080689292,7.0,11.49757189193107
Jessore,Khulna,2010,Aus,0.0,16045.0,16045.0,0.0,5.0,8.0
Jessore,Khulna,2010,Boro,111521.0,62095.0,173616.0,0.642342871624735,8.065771587872085,4.357657128375265
Jessore,Khulna,2015,Aman,55455.0,53790.0,109245.0,0.5076204860634353,7.0,11.492379513936564
Jessore,Khulna,2015,Aus,0.0,15715.0,15715.0,0.0,5.0,8.0
Jessore,Khulna,2015,Boro,111521.0,60818.0,172339.0,0.6471025130701699,8.118127643771869,4.35289748692983
Jhalakathi,Barisal,2000,Aman,307.0,43289.0,43596.0,0.007041930452335077,7.0,11.992958069547665
Jhalakathi,Barisal,2000,Aus,0.0,21835.0,21835.0,0.0,5.0,8.0
Jhalakathi,Barisal,2000,Boro,4891.0,0.0,4891.0,1.0,12.0,4.0
Jhalakathi,Barisal,2005,Aman,361.0,38004.0,38365.0,0.009409618141535254,7.0,11.990590381858464
Jhalakathi,Barisal,2005,Aus,0.0,19169.0,19169.0,0.0,5.0,8.0
Jhalakathi,Barisal,2005,Boro,5617.0,0.0,5617.0,1.0,12.0,4.0
Jhalakathi,Barisal,2010,Aman,393.0,41782.0,42175.0,0.00931831653823355,7.0,11.990681683461766
Jhalakathi,Barisal,2010,Aus,0.0,21075.0,21075.0,0.0,5.0,8.0
Jhalakathi,Barisal,2010,Boro,7246.0,0.0,7246.0,1.0,12.0,4.0
Jhalakathi,Barisal,2015,Aman,393.0,40923.0,41316.0,0.009512053441765901,7.0,11.990487946558234
Jhalakathi,Barisal,2015,Aus,0.0,20641.0,20641.0,0.0,5.0,8.0
Jhalakathi,Barisal,2015,Boro,7246.0,0.0,7246.0,1.0,12.0,4.0
Jhenaidah,Khulna,2000,Aman,43050.0,34431.0,77481.0,0.5556200875053239,7.0,11.444379912494677
Jhenaidah,Khulna,2000,Aus,0.0,10576.0,10576.0,0.0,4.0,8.0
