District,Division,Year,Production(tons),Area(ha),Yield_t_ha,Season
Khagrachhari,Chittagong,2007,5791.0,2648.6675284608,2.186382374448212,Aus
Dinajpur,North region,2007,17608.0,10175.8204741248,1.7303764394010133,Aus
Rangpur,North region,2007,,,,Aus
Rajshahi,North region,2007,84331.0,42702.4289691648,1.974852532648552,Aus
Bogura,North region,2007,44430.0,21268.2539279232,2.0890290359787187,Aus
Khulna,Khulna,2008,11594.0,7680.933489715199,1.5094519455902609,Aus
Jessor,Khulna,2008,93031.0,40203.4951283328,2.31400279261884,Aus
Satkhira,Khulna,2008,4559.0,2460.4887048192,1.8528839376789583,Aus
Chuadanga,Khulna,2008,27860.0,13739.077554048,2.027792614926429,Aus
Chittagong,Chittagong,2008,102177.0,41864.729689728,2.440646356903872,Aus
Cox's Bazar,Chittagong,2008,1871.0,722.3638713984,2.590107387815498,Aus
Chandpur,Chittagong,2008,23942.0,12703.0823099136,1.8847394211809088,Aus
Feni,Chittagong,2008,24654.0,13781.5695464832,1.788910901392305,Aus
Comilla,Chittagong,2008,99278.0,50367.1750331904,1.9710853335446925,Aus
Rangamati,Chittagong,2008,9965.0,6614.5868224128,1.506518890376447,Aus
Noakhali,Chittagong,2008,50873.0,40472.6110804224,1.2569735097869317,Aus
Khagrachhari,Chittagong,2008,4864.0,2606.1755360256,1.8663362972923796,Aus
Dinajpur,North region,2008,22245.0,9208.6217891712,2.4156709341846154,Aus
Rangpur,North region,2008,0.0,0.0,,Aus
